Fecha,Región,Cliente,Producto,Categoría,Cantidad,Precio_Unitario,Venta_Total
2025-07-20,Neiva,Cliente_22,Cupcake Tropical,Postres,5,18900.0,94500.0
2025-06-07,Medellín,Cliente_24,Polvo Roza,Bebidas,9,18700.0,168300.0
2025-05-20,Bogotá,Cliente_7,Malteada Boom,Bebidas,9,14300.0,128700.0
2025-07-10,Medellín,Cliente_5,Brownie Helado,Postres,2,6400.0,12800.0
2025-10-25,Cali,Cliente_15,Café Frío,Bebidas,7,9700.0,67900.0
2025-09-28,Medellín,Cliente_26,Brownie Helado,Postres,8,15000.0,120000.0
2025-06-16,Barranquilla,Cliente_27,Polvo Roza,Bebidas,8,9100.0,72800.0
2025-10-10,Bogotá,Cliente_6,Granizado Waza Waza,Bebidas,3,12100.0,36300.0
2025-05-29,Medellín,Cliente_7,Café Frío,Bebidas,5,19600.0,98000.0
2025-06-07,Bogotá,Cliente_13,Café Frío,Bebidas,3,16400.0,49200.0
2025-09-06,Cali,Cliente_30,Granizado Waza Waza,Bebidas,7,16600.0,116200.0
2025-07-22,Medellín,Cliente_23,Cupcake Tropical,Postres,7,5600.0,39200.0
2025-10-13,Bogotá,Cliente_10,Cupcake Tropical,Postres,3,5500.0,16500.0
2025-06-07,Barranquilla,Cliente_24,Brownie Helado,Postres,7,12100.0,84700.0
2025-11-04,Cali,Cliente_2,Granizado Waza Waza,Bebidas,4,18600.0,74400.0
2025-08-13,Medellín,Cliente_17,Granizado Waza Waza,Bebidas,7,14100.0,98700.0
2025-06-07,Barranquilla,Cliente_3,Arequipe Shot,Postres,4,19100.0,76400.0
2025-11-01,Barranquilla,Cliente_3,Arequipe Shot,Postres,7,9300.0,65100.0
2025-06-12,Neiva,Cliente_29,Brownie Helado,Postres,6,18200.0,109200.0
2025-08-13,Barranquilla,Cliente_2,Brownie Helado,Postres,9,6600.0,59400.0
2025-06-01,Barranquilla,Cliente_19,Polvo Roza,Bebidas,4,18400.0,73600.0
2025-11-06,Bogotá,Cliente_22,Malteada Boom,Bebidas,7,18400.0,128800.0
2025-07-22,Cali,Cliente_13,Malteada Boom,Bebidas,7,18600.0,130200.0
2025-10-14,Cali,Cliente_15,Arequipe Shot,Postres,1,8400.0,8400.0
2025-10-01,Neiva,Cliente_1,Malteada Boom,Bebidas,9,17300.0,155700.0
2025-10-30,Barranquilla,Cliente_4,Cupcake Tropical,Postres,9,9600.0,86400.0
2025-07-10,Bogotá,Cliente_17,Polvo Roza,Bebidas,6,12700.0,76200.0
2025-07-06,Cali,Cliente_29,Galleta Waza,Snacks,9,12300.0,110700.0
2025-05-13,Cali,Cliente_10,Polvo Roza,Bebidas,1,6800.0,6800.0
2025-10-19,Barranquilla,Cliente_23,Arequipe Shot,Postres,8,19100.0,152800.0
2025-07-04,Barranquilla,Cliente_1,Galleta Waza,Snacks,6,8300.0,49800.0
2025-05-30,Neiva,Cliente_29,Galleta Waza,Snacks,8,15500.0,124000.0
2025-11-06,Neiva,Cliente_29,Arequipe Shot,Postres,1,6000.0,6000.0
2025-11-04,Barranquilla,Cliente_5,Polvo Roza,Bebidas,4,8700.0,34800.0
2025-07-22,Barranquilla,Cliente_7,Galleta Waza,Snacks,7,12500.0,87500.0
2025-08-27,Cali,Cliente_17,Malteada Boom,Bebidas,1,7200.0,7200.0
2025-06-21,Neiva,Cliente_3,Cupcake Tropical,Postres,8,5600.0,44800.0
2025-08-07,Neiva,Cliente_1,Café Frío,Bebidas,1,19600.0,19600.0
2025-11-03,Bogotá,Cliente_21,Malteada Boom,Bebidas,6,5500.0,33000.0
2025-05-18,Medellín,Cliente_18,Galleta Waza,Snacks,1,14500.0,14500.0
2025-07-22,Neiva,Cliente_4,Café Frío,Bebidas,2,13000.0,26000.0
2025-09-25,Bogotá,Cliente_18,Polvo Roza,Bebidas,6,8600.0,51600.0
2025-07-18,Barranquilla,Cliente_18,Granizado Waza Waza,Bebidas,4,6200.0,24800.0
2025-07-26,Bogotá,Cliente_2,Arequipe Shot,Postres,8,8600.0,68800.0
2025-10-13,Neiva,Cliente_29,Galleta Waza,Snacks,6,10500.0,63000.0
2025-08-27,Bogotá,Cliente_22,Malteada Boom,Bebidas,4,19800.0,79200.0
2025-08-08,Barranquilla,Cliente_29,Polvo Roza,Bebidas,6,13000.0,78000.0
2025-10-30,Bogotá,Cliente_30,Café Frío,Bebidas,1,7300.0,7300.0
2025-05-18,Bogotá,Cliente_29,Brownie Helado,Postres,6,15400.0,92400.0
2025-07-21,Bogotá,Cliente_24,Café Frío,Bebidas,3,13900.0,41700.0
2025-08-16,Bogotá,Cliente_9,Malteada Boom,Bebidas,4,5200.0,20800.0
2025-07-13,Neiva,Cliente_13,Arequipe Shot,Postres,3,17100.0,51300.0
2025-06-30,Bogotá,Cliente_7,Granizado Waza Waza,Bebidas,4,14700.0,58800.0
2025-08-11,Cali,Cliente_27,Cupcake Tropical,Postres,4,19100.0,76400.0
2025-09-03,Neiva,Cliente_22,Brownie Helado,Postres,8,10800.0,86400.0
2025-06-12,Cali,Cliente_9,Brownie Helado,Postres,2,17600.0,35200.0
2025-11-03,Cali,Cliente_12,Polvo Roza,Bebidas,9,6700.0,60300.0
2025-10-21,Barranquilla,Cliente_11,Café Frío,Bebidas,7,13100.0,91700.0
2025-05-19,Cali,Cliente_6,Granizado Waza Waza,Bebidas,3,8400.0,25200.0
2025-07-13,Neiva,Cliente_20,Galleta Waza,Snacks,9,12700.0,114300.0
